traceId,spanId,parentSpanId,timestamp,srcService,srcRoute,dstService,dstRoute,latency_ms,latency,rps
trace00001,span00001,,2025-11-21T15:00:00+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.1,4.1,20
trace00002,span00002,,2025-11-21T15:00:00+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.3,17.5,20
trace00003,span00003,,2025-11-21T15:00:01+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.2,4.6,20
trace00004,span00004,,2025-11-21T15:00:01+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.4,17.2,20
trace00005,span00005,,2025-11-21T15:00:02+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.2,4.0,20
trace00006,span00006,,2025-11-21T15:00:02+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.7,17.3,20
trace00007,span00007,,2025-11-21T15:00:03+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.5,4.0,20
trace00008,span00008,,2025-11-21T15:00:03+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.3,16.9,20
trace00009,span00009,,2025-11-21T15:00:04+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.6,5.0,20
trace00010,span00010,,2025-11-21T15:00:04+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.4,17.0,20
trace00011,span00011,,2025-11-21T15:00:05+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.3,4.6,20
trace00012,span00012,,2025-11-21T15:00:05+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.6,17.3,20
trace00013,span00013,,2025-11-21T15:00:06+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.1,4.1,20
trace00014,span00014,,2025-11-21T15:00:06+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.7,17.4,20
trace00015,span00015,,2025-11-21T15:00:07+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.3,4.1,20
trace00016,span00016,,2025-11-21T15:00:07+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.3,17.0,20
trace00017,span00017,,2025-11-21T15:00:08+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.1,3.6,20
trace00018,span00018,,2025-11-21T15:00:08+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.2,17.4,20
trace00019,span00019,,2025-11-21T15:00:09+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,3.9,3.6,20
trace00020,span00020,,2025-11-21T15:00:09+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.6,17.6,20
trace00021,span00021,,2025-11-21T15:00:10+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,3.9,4.3,20
trace00022,span00022,,2025-11-21T15:00:10+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.7,18.0,20
trace00023,span00023,,2025-11-21T15:00:11+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.1,3.6,20
trace00024,span00024,,2025-11-21T15:00:11+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.1,17.6,20
trace00025,span00025,,2025-11-21T15:00:12+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.2,4.5,20
trace00026,span00026,,2025-11-21T15:00:12+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.8,18.1,20
trace00027,span00027,,2025-11-21T15:00:13+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.0,4.3,20
trace00028,span00028,,2025-11-21T15:00:13+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.2,17.3,20
trace00029,span00029,,2025-11-21T15:00:14+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.4,4.6,20
trace00030,span00030,,2025-11-21T15:00:14+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.3,17.2,20
trace00031,span00031,,2025-11-21T15:00:15+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,3.8,3.8,20
trace00032,span00032,,2025-11-21T15:00:15+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.4,17.5,20
trace00033,span00033,,2025-11-21T15:00:16+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.5,4.2,20
trace00034,span00034,,2025-11-21T15:00:16+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.8,18.0,20
trace00035,span00035,,2025-11-21T15:00:17+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.5,4.5,20
trace00036,span00036,,2025-11-21T15:00:17+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.2,17.0,20
