traceId,spanId,parentSpanId,timestamp,srcService,srcRoute,dstService,dstRoute,latency_ms,latency,rps
trace00000001,span00000001,,2025-02-01T09:00:00+00:00,load-balancer,/,api-server,/handle,1.67,1.62,9
trace00000002,span00000002,,2025-02-01T09:00:00+00:00,api-server,/handle,auth-service,/validate,11.64,11.74,9
trace00000003,span00000003,,2025-02-01T09:00:00+00:00,api-server,/handle,postgres,/query,15.03,14.96,9
trace00000004,span00000004,,2025-02-01T09:00:00+00:00,api-server,/handle,redis,/cache,1.88,1.86,9
trace00000005,span00000005,,2025-02-01T09:00:01+00:00,load-balancer,/,api-server,/handle,1.98,1.98,10
trace00000006,span00000006,,2025-02-01T09:00:01+00:00,api-server,/handle,auth-service,/validate,10.67,10.64,10
trace00000007,span00000007,,2025-02-01T09:00:01+00:00,api-server,/handle,postgres,/query,32.25,32.16,10
trace00000008,span00000008,,2025-02-01T09:00:01+00:00,api-server,/handle,redis,/cache,1.16,1.16,10
trace00000009,span00000009,,2025-02-01T09:00:02+00:00,load-balancer,/,api-server,/handle,2.82,2.89,10
trace00000010,span00000010,,2025-02-01T09:00:02+00:00,api-server,/handle,auth-service,/validate,10.92,10.9,10
trace00000011,span00000011,,2025-02-01T09:00:02+00:00,api-server,/handle,postgres,/query,21.69,21.68,10
trace00000012,span00000012,,2025-02-01T09:00:02+00:00,api-server,/handle,redis,/cache,1.66,1.58,10
trace00000013,span00000013,,2025-02-01T09:00:03+00:00,load-balancer,/,api-server,/handle,1.74,1.68,11
trace00000014,span00000014,,2025-02-01T09:00:03+00:00,api-server,/handle,auth-service,/validate,6.8,6.88,11
trace00000015,span00000015,,2025-02-01T09:00:03+00:00,api-server,/handle,postgres,/query,23.28,23.32,11
trace00000016,span00000016,,2025-02-01T09:00:03+00:00,api-server,/handle,redis,/cache,1.54,1.48,11
trace00000017,span00000017,,2025-02-01T09:00:04+00:00,load-balancer,/,api-server,/handle,1.94,2.04,8
trace00000018,span00000018,,2025-02-01T09:00:04+00:00,api-server,/handle,auth-service,/validate,7.86,7.82,8
trace00000019,span00000019,,2025-02-01T09:00:04+00:00,api-server,/handle,postgres,/query,32.12,32.06,8
trace00000020,span00000020,,2025-02-01T09:00:04+00:00,api-server,/handle,redis,/cache,1.46,1.43,8
trace00000021,span00000021,,2025-02-01T09:00:05+00:00,load-balancer,/,api-server,/handle,1.63,1.68,8
trace00000022,span00000022,,2025-02-01T09:00:05+00:00,api-server,/handle,auth-service,/validate,63.13,63.18,8
trace00000023,span00000023,,2025-02-01T09:00:05+00:00,api-server,/handle,postgres,/query,20.04,20.13,8
trace00000024,span00000024,,2025-02-01T09:00:05+00:00,api-server,/handle,redis,/cache,1.47,1.37,8
trace00000025,span00000025,,2025-02-01T09:00:06+00:00,load-balancer,/,api-server,/handle,2.8,2.8,9
trace00000026,span00000026,,2025-02-01T09:00:06+00:00,api-server,/handle,auth-service,/validate,11.52,11.55,9
