traceId,spanId,parentSpanId,timestamp,srcService,srcRoute,dstService,dstRoute,latency_ms,latency,rps
trace00000001,span00000001,,2025-01-20T13:00:00+00:00,api,/order-service,inventory-service,/reservations,5.58,5.66,9
trace00000002,span00000002,,2025-01-20T13:00:00+00:00,inventory-service,,database,/query,17.11,17.03,9
trace00000003,span00000003,,2025-01-20T13:00:01+00:00,api,/order-service,inventory-service,/reservations,4.91,4.99,11
trace00000004,span00000004,,2025-01-20T13:00:01+00:00,inventory-service,,database,/query,13.25,13.29,11
trace00000005,span00000005,,2025-01-20T13:00:02+00:00,api,/order-service,inventory-service,/reservations,3.76,3.86,13
trace00000006,span00000006,,2025-01-20T13:00:02+00:00,inventory-service,,database,/query,15.85,15.88,13
trace00000007,span00000007,,2025-01-20T13:00:03+00:00,api,/order-service,inventory-service,/reservations,4.66,4.75,16
trace00000008,span00000008,,2025-01-20T13:00:03+00:00,inventory-service,,database,/query,14.5,14.6,16
trace00000009,span00000009,,2025-01-20T13:00:04+00:00,api,/order-service,inventory-service,/reservations,5.45,5.36,17
trace00000010,span00000010,,2025-01-20T13:00:04+00:00,inventory-service,,database,/query,15.03,15.07,17
trace00000011,span00000011,,2025-01-20T13:00:05+00:00,api,/order-service,inventory-service,/reservations,4.61,4.61,20
trace00000012,span00000012,,2025-01-20T13:00:05+00:00,inventory-service,,database,/query,13.9,13.84,20
trace00000013,span00000013,,2025-01-20T13:00:06+00:00,api,/order-service,inventory-service,/reservations,4.99,5.07,22
trace00000014,span00000014,,2025-01-20T13:00:06+00:00,inventory-service,,database,/query,16.65,16.71,22
trace00000015,span00000015,,2025-01-20T13:00:07+00:00,api,/order-service,inventory-service,/reservations,5.02,5.05,23
trace00000016,span00000016,,2025-01-20T13:00:07+00:00,inventory-service,,database,/query,16.55,16.59,23
trace00000017,span00000017,,2025-01-20T13:00:08+00:00,api,/order-service,inventory-service,/reservations,4.74,4.68,26
trace00000018,span00000018,,2025-01-20T13:00:08+00:00,inventory-service,,database,/query,15.58,15.63,26
trace00000019,span00000019,,2025-01-20T13:00:09+00:00,api,/order-service,inventory-service,/reservations,5.51,5.56,27
trace00000020,span00000020,,2025-01-20T13:00:09+00:00,inventory-service,,database,/query,14.83,14.9,27
trace00000021,span00000021,,2025-01-20T13:00:10+00:00,api,/order-service,inventory-service,/reservations,4.76,4.78,29
trace00000022,span00000022,,2025-01-20T13:00:10+00:00,inventory-service,,database,/query,16.18,16.24,29
trace00000023,span00000023,,2025-01-20T13:00:11+00:00,api,/order-service,inventory-service,/reservations,4.73,4.73,30
trace00000024,span00000024,,2025-01-20T13:00:11+00:00,inventory-service,,database,/query,13.65,13.58,30
trace00000025,span00000025,,2025-01-20T13:00:12+00:00,api,/order-service,inventory-service,/reservations,4.77,4.68,28
trace00000026,span00000026,,2025-01-20T13:00:12+00:00,inventory-service,,database,/query,14.24,14.29,28
trace00000027,span00000027,,2025-01-20T13:00:13+00:00,api,/order-service,inventory-service,/reservations,5.38,5.42,28
trace00000028,span00000028,,2025-01-20T13:00:13+00:00,inventory-service,,database,/query,13.03,13.01,28
trace00000029,span00000029,,2025-01-20T13:00:14+00:00,api,/order-service,inventory-service,/reservations,4.84,4.83,30
trace00000030,span00000030,,2025-01-20T13:00:14+00:00,inventory-service,,database,/query,14.21,14.12,30
trace00000031,span00000031,,2025-01-20T13:00:15+00:00,api,/order-service,inventory-service,/reservations,4.9,4.88,30
trace00000032,span00000032,,2025-01-20T13:00:15+00:00,inventory-service,,database,/query,13.62,13.53,30
trace00000033,span00000033,,2025-01-20T13:00:16+00:00,api,/order-service,inventory-service,/reservations,5.19,5.15,31
trace00000034,span00000034,,2025-01-20T13:00:16+00:00,inventory-service,,database,/query,14.97,14.98,31
trace00000035,span00000035,,2025-01-20T13:00:17+00:00,api,/order-service,inventory-service,/reservations,4.57,4.51,30
trace00000036,span00000036,,2025-01-20T13:00:17+00:00,inventory-service,,database,/query,14.35,14.29,30
trace00000037,span00000037,,2025-01-20T13:00:18+00:00,api,/order-service,inventory-service,/reservations,5.19,5.12,30
trace00000038,span00000038,,2025-01-20T13:00:18+00:00,inventory-service,,database,/query,16.38,16.37,30
trace00000039,span00000039,,2025-01-20T13:00:19+00:00,api,/order-service,inventory-service,/reservations,5.15,5.22,32
trace00000040,span00000040,,2025-01-20T13:00:19+00:00,inventory-service,,database,/query,14.77,14.84,32
trace00000041,span00000041,,2025-01-20T13:00:20+00:00,api,/order-service,inventory-service,/reservations,5.26,5.34,30
trace00000042,span00000042,,2025-01-20T13:00:20+00:00,inventory-service,,database,/query,14.05,14.04,30
trace00000043,span00000043,,2025-01-20T13:00:21+00:00,api,/order-service,inventory-service,/reservations,4.97,5.06,29
trace00000044,span00000044,,2025-01-20T13:00:21+00:00,inventory-service,,database,/query,13.26,13.2,29
trace00000045,span00000045,,2025-01-20T13:00:22+00:00,api,/order-service,inventory-service,/reservations,4.88,4.79,31
trace00000046,span00000046,,2025-01-20T13:00:22+00:00,inventory-service,,database,/query,14.96,14.88,31
trace00000047,span00000047,,2025-01-20T13:00:23+00:00,api,/order-service,inventory-service,/reservations,5.59,5.56,30
trace00000048,span00000048,,2025-01-20T13:00:23+00:00,inventory-service,,database,/query,16.17,16.08,30
trace00000049,span00000049,,2025-01-20T13:00:24+00:00,api,/order-service,inventory-service,/reservations,5.6,5.67,30
trace00000050,span00000050,,2025-01-20T13:00:24+00:00,inventory-service,,database,/query,14.69,14.59,30
trace00000051,span00000051,,2025-01-20T13:00:25+00:00,api,/order-service,inventory-service,/reservations,5.23,5.3,29
trace00000052,span00000052,,2025-01-20T13:00:25+00:00,inventory-service,,database,/query,14.55,14.65,29
trace00000053,span00000053,,2025-01-20T13:00:26+00:00,api,/order-service,inventory-service,/reservations,4.94,4.93,31
trace00000054,span00000054,,2025-01-20T13:00:26+00:00,inventory-service,,database,/query,16.11,16.14,31
trace00000055,span00000055,,2025-01-20T13:00:27+00:00,api,/order-service,inventory-service,/reservations,4.28,4.18,30
trace00000056,span00000056,,2025-01-20T13:00:27+00:00,inventory-service,,database,/query,13.94,13.98,30
trace00000057,span00000057,,2025-01-20T13:00:28+00:00,api,/order-service,inventory-service,/reservations,5.9,5.83,29
trace00000058,span00000058,,2025-01-20T13:00:28+00:00,inventory-service,,database,/query,14.29,14.21,29
trace00000059,span00000059,,2025-01-20T13:00:29+00:00,api,/order-service,inventory-service,/reservations,4.91,4.97,31
trace00000060,span00000060,,2025-01-20T13:00:29+00:00,inventory-service,,database,/query,16.45,16.52,31
trace00000061,span00000061,,2025-01-20T13:00:30+00:00,api,/order-service,inventory-service,/reservations,4.58,4.58,30
trace00000062,span00000062,,2025-01-20T13:00:30+00:00,inventory-service,,database,/query,17.81,17.71,30
trace00000063,span00000063,,2025-01-20T13:00:31+00:00,api,/order-service,inventory-service,/reservations,5.02,4.95,31
trace00000064,span00000064,,2025-01-20T13:00:31+00:00,inventory-service,,database,/query,14.72,14.68,31
trace00000065,span00000065,,2025-01-20T13:00:32+00:00,api,/order-service,inventory-service,/reservations,4.77,4.78,28
trace00000066,span00000066,,2025-01-20T13:00:32+00:00,inventory-service,,database,/query,14.97,14.88,28
trace00000067,span00000067,,2025-01-20T13:00:33+00:00,api,/order-service,inventory-service,/reservations,4.44,4.51,29
trace00000068,span00000068,,2025-01-20T13:00:33+00:00,inventory-service,,database,/query,18.02,18.05,29
trace00000069,span00000069,,2025-01-20T13:00:34+00:00,api,/order-service,inventory-service,/reservations,4.7,4.76,29
trace00000070,span00000070,,2025-01-20T13:00:34+00:00,inventory-service,,database,/query,14.29,14.3,29
trace00000071,span00000071,,2025-01-20T13:00:35+00:00,api,/order-service,inventory-service,/reservations,5.33,5.33,30
trace00000072,span00000072,,2025-01-20T13:00:35+00:00,inventory-service,,database,/query,14.44,14.42,30
trace00000073,span00000073,,2025-01-20T13:00:36+00:00,api,/order-service,inventory-service,/reservations,5.7,5.7,30
trace00000074,span00000074,,2025-01-20T13:00:36+00:00,inventory-service,,database,/query,13.79,13.81,30
trace00000075,span00000075,,2025-01-20T13:00:37+00:00,api,/order-service,inventory-service,/reservations,5.38,5.29,28
trace00000076,span00000076,,2025-01-20T13:00:37+00:00,inventory-service,,database,/query,17.43,17.47,28
trace00000077,span00000077,,2025-01-20T13:00:38+00:00,api,/order-service,inventory-service,/reservations,4.75,4.82,29
trace00000078,span00000078,,2025-01-20T13:00:38+00:00,inventory-service,,database,/query,14.84,14.75,29
trace00000079,span00000079,,2025-01-20T13:00:39+00:00,api,/order-service,inventory-service,/reservations,5.15,5.07,29
trace00000080,span00000080,,2025-01-20T13:00:39+00:00,inventory-service,,database,/query,13.92,14.0,29
trace00000081,span00000081,,2025-01-20T13:00:40+00:00,api,/order-service,inventory-service,/reservations,4.95,4.99,29
trace00000082,span00000082,,2025-01-20T13:00:40+00:00,inventory-service,,database,/query,16.45,16.38,29
