traceId,spanId,parentSpanId,timestamp,srcService,srcRoute,dstService,dstRoute,latency_ms,latency,rps
trace000001,span000001,,2025-01-15T10:00:00+00:00,api-gateway,/v1/users,cache-service,/get,4.9,5.0,1
trace000002,span000002,,2025-01-15T10:00:00+00:00,api-gateway,/v1/users,db-service,/query,16.2,16.2,1
trace000003,span000003,,2025-01-15T10:00:00+00:00,api-gateway,/v1/orders,inventory-service,/check,17.3,17.4,1
trace000004,span000004,,2025-01-15T10:00:01+00:00,api-gateway,/v1/users,cache-service,/get,4.7,4.6,3
trace000005,span000005,,2025-01-15T10:00:01+00:00,api-gateway,/v1/users,db-service,/query,15.2,15.0,3
trace000006,span000006,,2025-01-15T10:00:01+00:00,api-gateway,/v1/orders,inventory-service,/check,22.4,22.1,3
trace000007,span000007,,2025-01-15T10:00:02+00:00,api-gateway,/v1/users,cache-service,/get,5.2,5.4,5
trace000008,span000008,,2025-01-15T10:00:02+00:00,api-gateway,/v1/users,db-service,/query,16.8,16.9,5
trace000009,span000009,,2025-01-15T10:00:02+00:00,api-gateway,/v1/orders,inventory-service,/check,18.6,18.6,5
trace000010,span000010,,2025-01-15T10:00:03+00:00,api-gateway,/v1/users,cache-service,/get,4.9,4.8,8
trace000011,span000011,,2025-01-15T10:00:03+00:00,api-gateway,/v1/users,db-service,/query,15.1,14.8,8
trace000012,span000012,,2025-01-15T10:00:03+00:00,api-gateway,/v1/orders,inventory-service,/check,20.6,20.6,8
trace000013,span000013,,2025-01-15T10:00:04+00:00,api-gateway,/v1/users,cache-service,/get,4.7,4.9,9
trace000014,span000014,,2025-01-15T10:00:04+00:00,api-gateway,/v1/users,db-service,/query,14.1,14.1,9
trace000015,span000015,,2025-01-15T10:00:04+00:00,api-gateway,/v1/orders,inventory-service,/check,17.2,17.1,9
trace000016,span000016,,2025-01-15T10:00:05+00:00,api-gateway,/v1/users,cache-service,/get,4.7,4.5,10
trace000017,span000017,,2025-01-15T10:00:05+00:00,api-gateway,/v1/users,db-service,/query,16.1,16.3,10
trace000018,span000018,,2025-01-15T10:00:05+00:00,api-gateway,/v1/orders,inventory-service,/check,22.6,22.3,10
trace000019,span000019,,2025-01-15T10:00:06+00:00,api-gateway,/v1/users,cache-service,/get,4.7,4.5,9
trace000020,span000020,,2025-01-15T10:00:06+00:00,api-gateway,/v1/users,db-service,/query,14.3,14.1,9
trace000021,span000021,,2025-01-15T10:00:06+00:00,api-gateway,/v1/orders,inventory-service,/check,17.5,17.5,9
trace000022,span000022,,2025-01-15T10:00:07+00:00,api-gateway,/v1/users,cache-service,/get,5.4,5.3,10
trace000023,span000023,,2025-01-15T10:00:07+00:00,api-gateway,/v1/users,db-service,/query,17.0,16.8,10
trace000024,span000024,,2025-01-15T10:00:07+00:00,api-gateway,/v1/orders,inventory-service,/check,22.9,22.6,10
trace000025,span000025,,2025-01-15T10:00:08+00:00,api-gateway,/v1/users,cache-service,/get,5.3,5.2,10
trace000026,span000026,,2025-01-15T10:00:08+00:00,api-gateway,/v1/users,db-service,/query,15.3,15.1,10
trace000027,span000027,,2025-01-15T10:00:08+00:00,api-gateway,/v1/orders,inventory-service,/check,18.5,18.3,10
trace000028,span000028,,2025-01-15T10:00:09+00:00,api-gateway,/v1/users,cache-service,/get,5.4,5.3,10
trace000029,span000029,,2025-01-15T10:00:09+00:00,api-gateway,/v1/users,db-service,/query,14.2,14.1,10
trace000030,span000030,,2025-01-15T10:00:09+00:00,api-gateway,/v1/orders,inventory-service,/check,22.5,22.6,10
trace000031,span000031,,2025-01-15T10:00:10+00:00,api-gateway,/v1/users,cache-service,/get,4.9,5.0,9
trace000032,span000032,,2025-01-15T10:00:10+00:00,api-gateway,/v1/users,db-service,/query,13.6,13.6,9
trace000033,span000033,,2025-01-15T10:00:10+00:00,api-gateway,/v1/orders,inventory-service,/check,17.3,17.6,9
trace000034,span000034,,2025-01-15T10:00:11+00:00,api-gateway,/v1/users,cache-service,/get,5.4,5.6,10
trace000035,span000035,,2025-01-15T10:00:11+00:00,api-gateway,/v1/users,db-service,/query,15.8,15.8,10
trace000036,span000036,,2025-01-15T10:00:11+00:00,api-gateway,/v1/orders,inventory-service,/check,18.0,17.9,10
trace000037,span000037,,2025-01-15T10:00:12+00:00,api-gateway,/v1/users,cache-service,/get,5.1,5.0,9
trace000038,span000038,,2025-01-15T10:00:12+00:00,api-gateway,/v1/users,db-service,/query,15.5,15.6,9
trace000039,span000039,,2025-01-15T10:00:12+00:00,api-gateway,/v1/orders,inventory-service,/check,21.1,21.2,9
trace000040,span000040,,2025-01-15T10:00:13+00:00,api-gateway,/v1/users,cache-service,/get,5.0,4.8,9
trace000041,span000041,,2025-01-15T10:00:13+00:00,api-gateway,/v1/users,db-service,/query,16.4,16.7,9
trace000042,span000042,,2025-01-15T10:00:13+00:00,api-gateway,/v1/orders,inventory-service,/check,19.1,19.1,9
trace000043,span000043,,2025-01-15T10:00:14+00:00,api-gateway,/v1/users,cache-service,/get,5.2,5.3,10
trace000044,span000044,,2025-01-15T10:00:14+00:00,api-gateway,/v1/users,db-service,/query,13.4,13.4,10
trace000045,span000045,,2025-01-15T10:00:14+00:00,api-gateway,/v1/orders,inventory-service,/check,21.3,21.1,10
trace000046,span000046,,2025-01-15T10:00:15+00:00,api-gateway,/v1/users,cache-service,/get,4.9,4.6,9
trace000047,span000047,,2025-01-15T10:00:15+00:00,api-gateway,/v1/users,db-service,/query,15.3,15.0,9
trace000048,span000048,,2025-01-15T10:00:15+00:00,api-gateway,/v1/orders,inventory-service,/check,21.3,21.3,9
trace000049,span000049,,2025-01-15T10:00:16+00:00,api-gateway,/v1/users,cache-service,/get,4.5,4.4,10
trace000050,span000050,,2025-01-15T10:00:16+00:00,api-gateway,/v1/users,db-service,/query,14.4,14.6,10
trace000051,span000051,,2025-01-15T10:00:16+00:00,api-gateway,/v1/orders,inventory-service,/check,17.4,17.3,10
trace000052,span000052,,2025-01-15T10:00:17+00:00,api-gateway,/v1/users,cache-service,/get,5.5,5.3,10
trace000053,span000053,,2025-01-15T10:00:17+00:00,api-gateway,/v1/users,db-service,/query,13.4,13.5,10
