traceId,spanId,parentSpanId,timestamp,srcService,srcRoute,dstService,dstRoute,latency_ms,latency,rps
trace00001,span00001,,2025-11-21T15:00:00+00:00,recommendation-service,/getUserRecommendations,user-service,/getUser,12.6,12.1,20
trace00001,span00002,span00001,2025-11-21T15:00:00.004000+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.0,4.3,20
trace00001,span00003,span00001,2025-11-21T15:00:00.012000+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,19.0,17.2,20
trace00002,span00004,,2025-11-21T15:00:01+00:00,recommendation-service,/getUserRecommendations,user-service,/getUser,12.2,12.0,20
trace00002,span00005,span00004,2025-11-21T15:00:01.004000+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.1,4.3,20
trace00002,span00006,span00004,2025-11-21T15:00:01.012000+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,17.1,17.8,20
trace00003,span00007,,2025-11-21T15:00:02+00:00,recommendation-service,/getUserRecommendations,user-service,/getUser,12.7,12.3,20
trace00003,span00008,span00007,2025-11-21T15:00:02.004000+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.4,4.3,20
trace00003,span00009,span00007,2025-11-21T15:00:02.012000+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,19.3,17.8,20
trace00004,span00010,,2025-11-21T15:00:03+00:00,recommendation-service,/getUserRecommendations,user-service,/getUser,12.0,12.8,20
trace00004,span00011,span00010,2025-11-21T15:00:03.004000+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.0,4.3,20
trace00004,span00012,span00010,2025-11-21T15:00:03.012000+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,16.7,16.9,20
trace00005,span00013,,2025-11-21T15:00:04+00:00,recommendation-service,/getUserRecommendations,user-service,/getUser,12.4,12.0,20
trace00005,span00014,span00013,2025-11-21T15:00:04.004000+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.0,4.4,20
trace00005,span00015,span00013,2025-11-21T15:00:04.012000+00:00,recommendation-service,/getUserRecommendations,db-analytics,/updateRecStats,18.6,19.1,20
trace00006,span00016,,2025-11-21T15:00:05+00:00,recommendation-service,/getUserRecommendations,user-service,/getUser,13.0,12.4,20
trace00006,span00017,span00016,2025-11-21T15:00:05.004000+00:00,recommendation-service,/getUserRecommendations,cache-service,/getProfileCache,4.1,4.2,20
