traceId,spanId,parentSpanId,timestamp,srcService,srcRoute,dstService,dstRoute,latency_ms,latency,rps
trace00000001,span00000001,,2025-01-15T10:00:00+00:00,api-gateway,/v1/users,cache-service,/get,6.64,6.61,56
trace00000002,span00000002,,2025-01-15T10:00:00+00:00,api-gateway,/v1/users,db-service,/query,9.81,9.85,56
trace00000003,span00000003,,2025-01-15T10:00:00+00:00,api-gateway,/v1/orders,inventory-service,/check,15.31,15.37,56
trace00000004,span00000004,,2025-01-15T10:00:01+00:00,api-gateway,/v1/users,cache-service,/get,5.33,5.42,42
trace00000005,span00000005,,2025-01-15T10:00:01+00:00,api-gateway,/v1/users,db-service,/query,12.58,12.55,42
trace00000006,span00000006,,2025-01-15T10:00:01+00:00,api-gateway,/v1/orders,inventory-service,/check,19.26,19.28,42
trace00000007,span00000007,,2025-01-15T10:00:02+00:00,api-gateway,/v1/users,cache-service,/get,6.27,6.21,36
trace00000008,span00000008,,2025-01-15T10:00:02+00:00,api-gateway,/v1/users,db-service,/query,16.11,16.1,36
trace00000009,span00000009,,2025-01-15T10:00:02+00:00,api-gateway,/v1/orders,inventory-service,/check,11.31,11.4,36
trace00000010,span00000010,,2025-01-15T10:00:03+00:00,api-gateway,/v1/users,cache-service,/get,7.07,7.07,20
trace00000011,span00000011,,2025-01-15T10:00:03+00:00,api-gateway,/v1/users,db-service,/query,15.54,15.58,20
trace00000012,span00000012,,2025-01-15T10:00:03+00:00,api-gateway,/v1/orders,inventory-service,/check,22.46,22.46,20
trace00000013,span00000013,,2025-01-15T10:00:04+00:00,api-gateway,/v1/users,cache-service,/get,7.63,7.62,16
trace00000014,span00000014,,2025-01-15T10:00:04+00:00,api-gateway,/v1/users,db-service,/query,12.56,12.55,16
trace00000015,span00000015,,2025-01-15T10:00:04+00:00,api-gateway,/v1/orders,inventory-service,/check,19.55,19.53,16
trace00000016,span00000016,,2025-01-15T10:00:05+00:00,api-gateway,/v1/users,cache-service,/get,4.4,4.46,9
trace00000017,span00000017,,2025-01-15T10:00:05+00:00,api-gateway,/v1/users,db-service,/query,11.86,11.83,9
trace00000018,span00000018,,2025-01-15T10:00:05+00:00,api-gateway,/v1/orders,inventory-service,/check,28.17,28.24,9
trace00000019,span00000019,,2025-01-15T10:00:06+00:00,api-gateway,/v1/users,cache-service,/get,5.14,5.11,10
trace00000020,span00000020,,2025-01-15T10:00:06+00:00,api-gateway,/v1/users,db-service,/query,16.3,16.37,10
trace00000021,span00000021,,2025-01-15T10:00:06+00:00,api-gateway,/v1/orders,inventory-service,/check,17.71,17.76,10
trace00000022,span00000022,,2025-01-15T10:00:07+00:00,api-gateway,/v1/users,cache-service,/get,4.42,4.32,9
trace00000023,span00000023,,2025-01-15T10:00:07+00:00,api-gateway,/v1/users,db-service,/query,18.58,18.55,9
trace00000024,span00000024,,2025-01-15T10:00:07+00:00,api-gateway,/v1/orders,inventory-service,/check,23.66,23.6,9
trace00000025,span00000025,,2025-01-15T10:00:08+00:00,api-gateway,/v1/users,cache-service,/get,5.0,4.95,9
trace00000026,span00000026,,2025-01-15T10:00:08+00:00,api-gateway,/v1/users,db-service,/query,15.45,15.51,9
trace00000027,span00000027,,2025-01-15T10:00:08+00:00,api-gateway,/v1/orders,inventory-service,/check,17.93,17.88,9
trace00000028,span00000028,,2025-01-15T10:00:09+00:00,api-gateway,/v1/users,cache-service,/get,3.85,3.94,9
trace00000029,span00000029,,2025-01-15T10:00:09+00:00,api-gateway,/v1/users,db-service,/query,17.45,17.5,9
trace00000030,span00000030,,2025-01-15T10:00:09+00:00,api-gateway,/v1/orders,inventory-service,/check,18.97,18.9,9
trace00000031,span00000031,,2025-01-15T10:00:10+00:00,api-gateway,/v1/users,cache-service,/get,7.87,7.81,10
trace00000032,span00000032,,2025-01-15T10:00:10+00:00,api-gateway,/v1/users,db-service,/query,18.3,18.25,10
trace00000033,span00000033,,2025-01-15T10:00:10+00:00,api-gateway,/v1/orders,inventory-service,/check,26.73,26.68,10
trace00000034,span00000034,,2025-01-15T10:00:11+00:00,api-gateway,/v1/users,cache-service,/get,5.84,5.75,8
trace00000035,span00000035,,2025-01-15T10:00:11+00:00,api-gateway,/v1/users,db-service,/query,15.45,15.46,8
trace00000036,span00000036,,2025-01-15T10:00:11+00:00,api-gateway,/v1/orders,inventory-service,/check,16.51,16.57,8
trace00000037,span00000037,,2025-01-15T10:00:12+00:00,api-gateway,/v1/users,cache-service,/get,6.23,6.28,9
trace00000038,span00000038,,2025-01-15T10:00:12+00:00,api-gateway,/v1/users,db-service,/query,16.53,16.53,9
trace00000039,span00000039,,2025-01-15T10:00:12+00:00,api-gateway,/v1/orders,inventory-service,/check,26.14,26.21,9
trace00000040,span00000040,,2025-01-15T10:00:13+00:00,api-gateway,/v1/users,cache-service,/get,4.37,4.3,10
trace00000041,span00000041,,2025-01-15T10:00:13+00:00,api-gateway,/v1/users,db-service,/query,14.62,14.7,10
trace00000042,span00000042,,2025-01-15T10:00:13+00:00,api-gateway,/v1/orders,inventory-service,/check,17.09,17.0,10
trace00000043,span00000043,,2025-01-15T10:00:14+00:00,api-gateway,/v1/users,cache-service,/get,4.65,4.62,10
trace00000044,span00000044,,2025-01-15T10:00:14+00:00,api-gateway,/v1/users,db-service,/query,17.98,18.0,10
trace00000045,span00000045,,2025-01-15T10:00:14+00:00,api-gateway,/v1/orders,inventory-service,/check,20.45,20.36,10
