traceId,spanId,parentSpanId,timestamp,srcService,srcRoute,dstService,dstRoute,latency_ms,latency,rps
trace00000001,span00000001,,2025-01-20T10:00:00+00:00,api,/order-service,inventory-service,/reservations,5.16,5.1,10
trace00000002,span00000002,,2025-01-20T10:00:00+00:00,inventory-service,,database,/query,15.53,15.47,10
trace00000003,span00000003,,2025-01-20T10:00:01+00:00,api,/order-service,inventory-service,/reservations,4.6,4.63,12
trace00000004,span00000004,,2025-01-20T10:00:01+00:00,inventory-service,,database,/query,12.67,12.6,12
trace00000005,span00000005,,2025-01-20T10:00:02+00:00,api,/order-service,inventory-service,/reservations,5.05,5.05,14
trace00000006,span00000006,,2025-01-20T10:00:02+00:00,inventory-service,,database,/query,16.3,16.29,14
trace00000007,span00000007,,2025-01-20T10:00:03+00:00,api,/order-service,inventory-service,/reservations,5.56,5.52,15
trace00000008,span00000008,,2025-01-20T10:00:03+00:00,inventory-service,,database,/query,14.4,14.39,15
trace00000009,span00000009,,2025-01-20T10:00:04+00:00,api,/order-service,inventory-service,/reservations,4.99,4.93,18
trace00000010,span00000010,,2025-01-20T10:00:04+00:00,inventory-service,,database,/query,16.45,16.53,18
trace00000011,span00000011,,2025-01-20T10:00:05+00:00,api,/order-service,inventory-service,/reservations,4.89,4.93,20
trace00000012,span00000012,,2025-01-20T10:00:05+00:00,inventory-service,,database,/query,14.02,14.08,20
trace00000013,span00000013,,2025-01-20T10:00:06+00:00,api,/order-service,inventory-service,/reservations,4.34,4.38,21
trace00000014,span00000014,,2025-01-20T10:00:06+00:00,inventory-service,,database,/query,14.61,14.59,21
trace00000015,span00000015,,2025-01-20T10:00:07+00:00,api,/order-service,inventory-service,/reservations,5.31,5.25,23
trace00000016,span00000016,,2025-01-20T10:00:07+00:00,inventory-service,,database,/query,16.12,16.04,23
trace00000017,span00000017,,2025-01-20T10:00:08+00:00,api,/order-service,inventory-service,/reservations,5.31,5.34,26
trace00000018,span00000018,,2025-01-20T10:00:08+00:00,inventory-service,,database,/query,14.6,14.52,26
trace00000019,span00000019,,2025-01-20T10:00:09+00:00,api,/order-service,inventory-service,/reservations,5.64,5.59,27
trace00000020,span00000020,,2025-01-20T10:00:09+00:00,inventory-service,,database,/query,14.38,14.44,27
trace00000021,span00000021,,2025-01-20T10:00:10+00:00,api,/order-service,inventory-service,/reservations,4.84,4.82,31
trace00000022,span00000022,,2025-01-20T10:00:10+00:00,inventory-service,,database,/query,16.54,16.53,31
trace00000023,span00000023,,2025-01-20T10:00:11+00:00,api,/order-service,inventory-service,/reservations,5.0,5.03,29
trace00000024,span00000024,,2025-01-20T10:00:11+00:00,inventory-service,,database,/query,13.31,13.4,29
trace00000025,span00000025,,2025-01-20T10:00:12+00:00,api,/order-service,inventory-service,/reservations,5.45,5.47,29
trace00000026,span00000026,,2025-01-20T10:00:12+00:00,inventory-service,,database,/query,13.45,13.36,29
trace00000027,span00000027,,2025-01-20T10:00:13+00:00,api,/order-service,inventory-service,/reservations,5.42,5.38,29
trace00000028,span00000028,,2025-01-20T10:00:13+00:00,inventory-service,,database,/query,15.36,15.33,29
trace00000029,span00000029,,2025-01-20T10:00:14+00:00,api,/order-service,inventory-service,/reservations,5.31,5.33,31
trace00000030,span00000030,,2025-01-20T10:00:14+00:00,inventory-service,,database,/query,16.77,16.76,31
trace00000031,span00000031,,2025-01-20T10:00:15+00:00,api,/order-service,inventory-service,/reservations,5.28,5.3,28
trace00000032,span00000032,,2025-01-20T10:00:15+00:00,inventory-service,,database,/query,17.69,17.72,28
trace00000033,span00000033,,2025-01-20T10:00:16+00:00,api,/order-service,inventory-service,/reservations,4.77,4.73,30
trace00000034,span00000034,,2025-01-20T10:00:16+00:00,inventory-service,,database,/query,12.68,12.74,30
trace00000035,span00000035,,2025-01-20T10:00:17+00:00,api,/order-service,inventory-service,/reservations,5.08,5.08,30
trace00000036,span00000036,,2025-01-20T10:00:17+00:00,inventory-service,,database,/query,11.95,11.88,30
trace00000037,span00000037,,2025-01-20T10:00:18+00:00,api,/order-service,inventory-service,/reservations,4.76,4.7,30
trace00000038,span00000038,,2025-01-20T10:00:18+00:00,inventory-service,,database,/query,13.85,13.86,30
trace00000039,span00000039,,2025-01-20T10:00:19+00:00,api,/order-service,inventory-service,/reservations,4.89,4.97,30
trace00000040,span00000040,,2025-01-20T10:00:19+00:00,inventory-service,,database,/query,15.59,15.54,30
trace00000041,span00000041,,2025-01-20T10:00:20+00:00,api,/order-service,inventory-service,/reservations,4.93,4.93,30
trace00000042,span00000042,,2025-01-20T10:00:20+00:00,inventory-service,,database,/query,12.86,12.76,30
trace00000043,span00000043,,2025-01-20T10:00:21+00:00,api,/order-service,inventory-service,/reservations,5.76,5.83,28
trace00000044,span00000044,,2025-01-20T10:00:21+00:00,inventory-service,,database,/query,12.74,12.67,28
trace00000045,span00000045,,2025-01-20T10:00:22+00:00,api,/order-service,inventory-service,/reservations,4.4,4.31,30
trace00000046,span00000046,,2025-01-20T10:00:22+00:00,inventory-service,,database,/query,18.31,18.24,30
trace00000047,span00000047,,2025-01-20T10:00:23+00:00,api,/order-service,inventory-service,/reservations,5.53,5.63,30
trace00000048,span00000048,,2025-01-20T10:00:23+00:00,inventory-service,,database,/query,13.38,13.31,30
trace00000049,span00000049,,2025-01-20T10:00:24+00:00,api,/order-service,inventory-service,/reservations,5.32,5.26,30
trace00000050,span00000050,,2025-01-20T10:00:24+00:00,inventory-service,,database,/query,15.31,15.33,30
trace00000051,span00000051,,2025-01-20T10:00:25+00:00,api,/order-service,inventory-service,/reservations,5.76,5.81,29
trace00000052,span00000052,,2025-01-20T10:00:25+00:00,inventory-service,,database,/query,16.56,16.57,29
trace00000053,span00000053,,2025-01-20T10:00:26+00:00,api,/order-service,inventory-service,/reservations,5.72,5.77,30
trace00000054,span00000054,,2025-01-20T10:00:26+00:00,inventory-service,,database,/query,15.42,15.51,30
trace00000055,span00000055,,2025-01-20T10:00:27+00:00,api,/order-service,inventory-service,/reservations,5.23,5.15,30
trace00000056,span00000056,,2025-01-20T10:00:27+00:00,inventory-service,,database,/query,15.8,15.84,30
trace00000057,span00000057,,2025-01-20T10:00:28+00:00,api,/order-service,inventory-service,/reservations,5.97,6.01,29
trace00000058,span00000058,,2025-01-20T10:00:28+00:00,inventory-service,,database,/query,13.82,13.72,29
trace00000059,span00000059,,2025-01-20T10:00:29+00:00,api,/order-service,inventory-service,/reservations,4.56,4.47,30
trace00000060,span00000060,,2025-01-20T10:00:29+00:00,inventory-service,,database,/query,13.8,13.86,30
trace00000061,span00000061,,2025-01-20T10:00:30+00:00,api,/order-service,inventory-service,/reservations,11.01,10.95,29
trace00000062,span00000062,,2025-01-20T10:00:30+00:00,inventory-service,,database,/query,15.8,15.72,29
